87,18.6,61,20.4,1.5,72.3,19.7
59.9,18.1,58.2,23.7,2.3,91.7,16.5
52.1,19.8,58.8,21.4,0.6,97.9,18.7
58.7,17.6,58.3,24.1,1,87,20.1
64.1,14.7,57.2,28.1,1.4,78.4,17.7
52.9,20.8,63,16.2,1.7,96.6,10.7
68.7,20.9,63,16.1,2,94.8,12.3
42.7,14.8,61.5,23.7,11.9,91.7,13.5
40.5,12.3,54.2,33.5,1.2,96.3,20
29.5,12.1,64.1,23.8,1.9,96.1,19
99.4,19.6,66.9,13.6,9.2,41.6,35.6
72,16.5,58.7,24.8,2.1,86.9,16.6
63.5,18.2,59.7,22.1,1.6,94.9,10.4
35.4,16.2,58.3,25.5,2.8,95.2,14.9
40.8,17.8,62.5,19.7,7.9,89.8,16.3
90.9,13,60.3,26.6,3.2,45.4,30.5
68.2,20,59.8,20.1,1,82.9,23.4
59.6,21.4,59.2,19.4,1.2,91.2,21.8
53.6,12.4,54.1,33.5,0.6,96.2,12.1
41.3,13.7,57.8,28.6,1.5,97.7,17.2
87.3,14.5,59.9,25.6,3.6,72,22.4
42.4,17.9,62.1,20,9.9,93.5,17.5
48.2,15.4,57.6,26.9,0.9,94.3,19.8
96.4,13.8,58.9,27.3,3.5,64.1,25.8
92.7,14.4,58,27.7,2,70.9,22.5
55.1,10.6,57.9,31.5,1.5,84.4,21.5
75.7,18.8,61.8,19.4,1.1,85.3,15.5
64.1,19.5,62.7,17.8,2,90.2,14.7
90.7,12.5,59,28.4,2.2,51.7,29.3
42.1,12.2,54.1,33.7,1.5,83,21
99.9,13.9,69.8,16.4,8.9,13.4,48.4
36.7,11,57.9,31.1,1.5,94.3,19.2
81.1,19.2,60.8,20,1.7,68.8,18.3
43.7,13.8,61.9,24.3,6.1,95.7,23
69.9,14.7,59.8,25.5,2.4,80.1,21.3
60.6,16.8,60.5,22.7,1.6,78.8,15
54.8,9.7,57.3,33,1.1,92,19.2
93.8,16.4,64.6,19.1,3.3,47,30.9
51.7,16.3,58.7,25,2.1,94.7,13.7
60.1,18,61,20.9,1,84.1,16.7
87.4,15.3,61.9,22.8,3.2,54.9,30.1
79.6,24.1,58.1,17.9,0.5,96.4,16.1
